Z1mass,Z2mass,pt4l,eta4l,massjj,detajj,HT,dRZ1Z2,target
90.61,14.09,108.7,0.7649,750.6,5.132999999999999,124.2,0.2866,1.0
89.19,26.13,119.2,-1.682,41.49,0.7637,125.6,0.6671,0.0
87.42,28.71,187.6,0.5291,93.23,0.4484,192.8,0.4197,1.0
89.6,31.02,55.24,0.1842,538.3,3.635,171.7,1.443,0.0
61.14,58.14,7.013999999999999,3.283,121.4,0.4176,118.3,2.804,0.0
77.97,28.13,137.1,0.5071,2200.0,7.27,135.7,1.125,0.0
89.92,17.37,133.0,0.2053,516.9,2.997,287.0,1.6569999999999998,0.0
87.62,35.29,67.63,1.579,80.92,2.291,56.28,0.6509,1.0
60.91,51.06,131.0,0.8788,184.2,1.891,169.4,0.7477,1.0
90.87,17.57,73.13,-2.1180000000000003,93.84,1.795,91.02,1.6840000000000002,0.0
92.75,21.15,45.89,2.181,24.56,0.8815,50.76,1.69,0.0
91.52,17.26,178.8,0.5171,35.36,0.4374,173.6,0.2581,0.0
65.74,22.57,154.1,1.337,989.9,5.165,180.7,0.9929,1.0
92.94,23.01,90.62,1.757,265.1,1.044,265.1,0.9669,1.0
88.36,21.38,329.4,1.686,853.3,3.8930000000000002,268.6,0.2166,0.0
89.84,18.81,138.3,0.02684,141.5,2.144,134.5,1.982,1.0
92.81,28.01,150.5,-0.313,31.28,0.5095,127.0,0.4543,0.0
92.7,19.12,67.48,-0.7908,521.3,3.8289999999999997,152.7,1.867,1.0
92.39,16.9,110.5,-1.485,453.1,3.068,202.3,0.6546,1.0
70.45,40.07,62.99,-1.91,363.1,4.465,79.84,1.714,1.0
61.11,49.33,318.6,-0.9979,549.7,3.071,410.5,0.3116,1.0
45.31,29.02,71.14,-0.2171,23.97,0.6215,59.21,1.919,0.0
88.85,27.26,69.15,1.93,419.2,4.868,75.06,0.4663,0.0
95.25,28.14,23.25,2.2969999999999997,1487.0,6.955,99.97,1.527,1.0
92.34,27.94,27.94,-2.91,75.5,1.208,64.3,1.571,0.0
45.03,29.94,162.5,1.3719999999999999,997.4,5.515,191.6,1.382,1.0
59.06,17.84,145.1,-2.272,1229.0,5.447,199.2,1.261,1.0
89.43,32.42,115.4,1.041,615.7,4.14,194.6,0.5081,1.0
89.17,24.38,137.4,-0.703,254.6,2.441,197.5,0.8062,1.0
37.16,20.87,63.72,-2.5580000000000003,57.36,1.371,67.43,2.496,0.0
84.78,24.3,247.9,0.5122,363.0,3.0989999999999998,200.7,0.4534,0.0
92.13,22.84,126.5,0.3562,246.4,2.2159999999999997,167.6,0.3446,0.0
89.06,15.16,39.6,-0.6281,289.0,2.838,136.7,2.522,1.0
90.29,25.74,116.4,1.03,227.3,1.8459999999999999,184.9,0.984,0.0
45.47,40.63,29.62,-1.844,89.71,1.614,68.06,2.7560000000000002,0.0
75.55,37.62,114.4,-1.933,361.4,1.811,285.8,0.5035,1.0
78.67,42.7,50.49,-1.973,130.8,1.595,99.14,1.37,0.0
85.65,26.04,131.1,0.050960000000000005,1781.0,5.854,191.3,0.3256,1.0
59.4,53.4,57.05,-0.6799,104.6,1.5919999999999999,85.39,1.88,0.0
73.12,35.2,121.4,0.6003,718.8,4.898,128.4,1.032,0.0
92.34,29.35,112.4,0.8888,585.5,4.655,115.2,0.4867,1.0
86.74,27.64,16.31,-1.7830000000000001,182.5,4.0760000000000005,46.96,2.3080000000000003,0.0
91.94,23.55,142.1,-1.033,435.9,3.6319999999999997,187.2,0.5115,0.0
87.41,17.33,161.1,2.001,472.8,3.572,253.6,0.9545,1.0
90.87,24.88,187.4,0.9158,666.8,3.76,265.2,0.2536,1.0
90.83,19.45,237.9,-0.6778,1411.0,4.466,426.7,0.6045,1.0
94.29,18.01,117.7,-0.1088,453.5,5.044,74.79,0.9605,1.0
80.49,32.13,128.1,2.222,105.5,2.09,104.9,0.7592,0.0
90.58,23.22,66.71,-0.03057,171.1,2.705,86.91,0.8994,1.0
90.87,16.0,52.28,-2.542,186.8,2.206,136.3,2.9389999999999996,0.0
90.94,32.54,113.4,-0.2275,216.8,1.0170000000000001,247.0,0.3994,1.0
91.41,22.34,100.9,0.2587,2282.0,7.388,116.0,0.7263,1.0
92.82,21.79,57.79,0.4666,669.7,6.08,66.61,2.296,0.0
89.79,29.81,105.6,0.7365,132.7,2.431,85.75,0.6681,0.0
89.0,26.6,19.88,-2.755,674.7,3.465,243.5,2.6889999999999996,1.0
93.18,24.5,114.3,-1.1320000000000001,751.4,4.494,161.3,0.7498,1.0
89.08,17.12,135.0,-0.2582,111.7,1.415,123.3,1.064,0.0
88.66,24.67,196.2,-1.054,482.7,2.7110000000000003,314.8,0.5629,1.0
91.85,16.91,166.9,-0.1335,646.1,2.591,368.9,0.2013,0.0
68.28,25.17,48.76,-1.24,178.0,2.302,110.2,2.779,1.0
93.33,15.06,26.85,-2.016,52.43,0.0659,56.58,3.093,1.0
90.37,33.99,69.51,-1.75,122.2,0.9328,117.1,0.4098,0.0
83.39,16.58,49.97,-1.37,162.0,1.163,141.0,1.7830000000000001,1.0
90.77,21.36,113.1,1.994,316.4,3.55,107.7,0.8575,0.0
65.95,26.47,263.2,1.879,613.6,3.236,302.7,0.5794,1.0
90.26,22.68,53.4,-2.8710000000000004,191.2,3.444,92.65,1.764,0.0
90.69,32.67,46.2,2.86,151.8,3.338,58.68,0.06352999999999999,0.0
91.04,30.75,184.1,-0.4694,164.9,1.945,229.9,0.07722000000000001,0.0
82.81,20.45,124.0,-0.4187,423.7,2.6430000000000002,372.2,0.7591,0.0
66.83,48.01,87.55,-1.714,215.5,3.2960000000000003,86.32,0.96,0.0
88.5,19.11,52.72,-1.016,54.91,1.329,63.63,1.819,0.0
76.3,40.69,7.409,1.516,69.31,0.567,67.01,2.867,1.0
92.05,25.47,110.1,-1.6669999999999998,778.6,3.988,227.0,0.3557,1.0
90.59,15.3,81.0,1.514,228.8,2.4090000000000003,130.5,2.5140000000000002,1.0
91.91,19.25,90.09,-0.4548,942.4,4.6,247.4,1.3259999999999998,1.0
